Actual,Error,Predicted,,
26500000,-6599.304145,-26506599.3,,-0.024903035
23950000,-6035.346368,-23956035.35,,-0.025199776
23950000,-6035.346368,-23956035.35,,-0.025199776
23900000,-6350.959727,-23906350.96,,-0.026573053
23888000,-7717.928537,-23895717.93,,-0.03230881
23888000,-7717.928537,-23895717.93,,-0.03230881
23450000,-6175.376794,-23456175.38,,-0.026334229
22995000,-5430.199395,-23000430.2,,-0.023614696
20900000,-3795.79018,-20903795.79,,-0.018161676
19500000,-4294.326923,-19504294.33,,-0.022022189
19500000,-4368.981785,-19504368.98,,-0.022405035
18000000,-4263.76879,-18004263.77,,-0.023687604
17900000,-6350.751873,-17906350.75,,-0.035479061
17000000,-2306.685153,-17002306.69,,-0.013568736
16995000,-3612.04144,-16998612.04,,-0.021253554
16995000,-5753.013871,-17000753.01,,-0.033851214
16950000,-6397.704526,-16956397.7,,-0.037744569
16888000,-6309.407118,-16894309.41,,-0.037360298
16500000,-6636.028442,-16506636.03,,-0.040218354
15999000,-4284.340163,-16003284.34,,-0.0267788
15450000,-4637.409408,-15454637.41,,-0.030015595
15000000,-9134.987546,-15009134.99,,-0.060899917
15000000,-3423.018119,-15003423.02,,-0.022820121
15000000,-6383.646553,-15006383.65,,-0.042557644
15000000,-6278.023135,-15006278.02,,-0.041853488
14950000,-8504.412156,-14958504.41,,-0.0568857
14900000,-7511.370546,-14907511.37,,-0.050411883
14850000,-7516.420986,-14857516.42,,-0.05061563
14700000,-7413.676932,-14707413.68,,-0.050433176
14250000,-3931.806012,-14253931.81,,-0.027591621
14200000,-4709.100064,-14204709.1,,-0.033162677
13999000,-4574.270106,-14003574.27,,-0.032675692
13995000,-7770.700974,-14002770.7,,-0.055524837
13950000,-8450.094091,-13958450.09,,-0.060574151
13750000,-749.4914184,-13750749.49,,-0.005450847
13588000,-4716.201674,-13592716.2,,-0.034708579
13000000,-2167.303424,-13002167.3,,-0.016671565
12999000,-3083.343891,-13002083.34,,-0.023719855
12980000,-6132.732106,-12986132.73,,-0.047247551
12900000,-7358.00492,-12907358,,-0.057038798
12850000,-6964.651345,-12856964.65,,-0.054199621
12700000,-8586.300906,-12708586.3,,-0.067608669
12500000,-7061.151608,-12507061.15,,-0.056489213
12400000,-3832.244985,-12403832.24,,-0.030905201
11999000,-6636.658502,-12005636.66,,-0.055310097
11995000,-6761.628902,-12001761.63,,-0.056370395
11900000,-2823.670441,-11902823.67,,-0.023728323
11800000,-4444.064236,-11804444.06,,-0.037661561
11590000,-8010.310228,-11598010.31,,-0.06911398
11500000,-4679.657936,-11504679.66,,-0.040692678
